Trade #,ENTRY DATE,Month ,Year,Day,System,Symbols,LOT SIZE,Qty,LONG/SHORT,Average Qty,ENTRY,SYSTEM ENTRY,EXIT,SYSTEM EXIT,BNF_Intra PnL in points,Charges,Slippage points,Commission points,Commisiion and slippage,Gross PnL,Net PnL,Net Points,Result,Cum Profit,Cum Points,Account growth,% on Equity,% on initial equity,CAGR %,Net Cum %,Equity Peak,Max Sys Drawdown,Average Slippage_Fdsystem,Average Slippage_IBFD,Average Slippage_BNFIntra,Remarks
23,16-06-2021,#REF!,#REF!,Wed,Fd System,,3,75,SHORT,#REF!,300.6,304.95,236.25,235.25,,250,#REF!,#REF!,-1.61%,4826.25,4576.25,61.02,WIN,34333.68,368,534333.6825,0.86%,0.92%,6.74%,6.87%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
24,16-06-2021,#REF!,#REF!,Wed,IBFD_Invertir,,3,75,SHORT,#REF!,274.1,275,248.65,248.3692,,250,#REF!,#REF!,-0.86%,1908.75,1658.75,22.12,WIN,35992.43,390,535992.4325,0.31%,0.33%,7.05%,7.20%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
25,17-06-2021,#REF!,#REF!,Thu,Fd System,,4,100,SHORT,#REF!,200.15,204.05,171.8,167.0537,,250,#REF!,#REF!,-3.00%,2835,2585,25.85,WIN,38577.43,416,538577.4325,0.48%,0.52%,7.53%,7.72%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
26,17-06-2021,#REF!,#REF!,Thu,IBFD_Invertir,,4,100,SHORT,#REF!,140.4,141.25,92.7,92.35,,250,#REF!,#REF!,-1.58%,4770,4520,45.2,WIN,43097.43,461,543097.4325,0.84%,0.90%,8.37%,8.62%,538577.4325,1.90%,-1.29%,-1.13%,-0.07%,
27,22-06-2021,#REF!,#REF!,Tue,Fd System,,3,75,SHORT,#REF!,368.25,372.35,398.9,397.5,,250,#REF!,#REF!,-1.15%,-2298.75,-2548.75,-33.98,LOSS,40548.68,427,540548.6825,-0.47%,-0.51%,7.90%,8.11%,543097.4325,1.90%,-1.29%,-1.13%,-0.07%,
28,22-06-2021,#REF!,#REF!,Tue,IBFD_Invertir,,2,50,SHORT,#REF!,340.75,342.75,293.35,288.4575,,250,#REF!,#REF!,-1.88%,2370,2120,42.4,WIN,42668.68,470,542668.6825,0.39%,0.42%,8.29%,8.53%,543097.4325,1.90%,-1.29%,-1.13%,-0.07%,
29,23-06-2021,#REF!,#REF!,Wed,Fd System,,3,75,SHORT,#REF!,296.3,306.25,257.65,258.6,,250,#REF!,#REF!,-2.18%,2898.75,2648.75,35.32,WIN,45317.43,505,545317.4325,0.49%,0.53%,8.78%,9.06%,543097.4325,1.90%,-1.29%,-1.13%,-0.07%,
30,23-06-2021,#REF!,#REF!,Wed,IBFD_Invertir,,3,75,SHORT,#REF!,283.7,276.2,227.1,225.05,,250,#REF!,#REF!,0.42%,4245,3995,53.27,WIN,49312.43,558,549312.4325,0.73%,0.80%,9.51%,9.86%,545317.4325,1.90%,-1.29%,-1.13%,-0.07%,
31,24-06-2021,#REF!,#REF!,Thu,Fd System,,4,100,SHORT,#REF!,177.05,177.435,166.5,165,,250,#REF!,#REF!,-1.28%,1055,805,8.05,WIN,50117.43,566,550117.4325,0.15%,0.16%,9.66%,10.02%,549312.4325,1.90%,-1.29%,-1.13%,-0.07%,
32,24-06-2021,#REF!,#REF!,Thu,IBFD_Invertir,,5,125,SHORT,#REF!,159.75,160.15,140.2,137.45,,300,#REF!,#REF!,-1.87%,2443.75,2143.75,17.15,WIN,52261.18,583,552261.1825,0.39%,0.43%,10.05%,10.45%,550117.4325,1.90%,-1.29%,-1.13%,-0.07%,
33,29-06-2021,#REF!,#REF!,Tue,Fd System,,3,75,SHORT,#REF!,385.95,391.2,329.05,327.85,,250,#REF!,#REF!,-1.36%,4267.5,4017.5,53.57,WIN,56278.68,637,556278.6825,0.73%,0.80%,10.78%,11.26%,552261.1825,1.90%,-1.29%,-1.13%,-0.07%,
34,29-06-2021,#REF!,#REF!,Tue,IBFD_Invertir,,3,75,SHORT,#REF!,354.95,355.55,388.35,381.984,,250,#REF!,#REF!,-1.40%,-2505,-2755,-36.73,LOSS,53523.68,600,553523.6825,-0.50%,-0.55%,10.28%,10.70%,556278.6825,1.90%,-1.29%,-1.13%,-0.07%,
